flight,line,mag,channel,gamma_nT_per_A
Flt1007,1007.06,Mag 4,cur_bat_2,-2289.963
Flt1007,1007.06,Mag 5,cur_com_1,-103.163
Flt1007,1007.06,Mag 5,cur_ac_hi,6.178
Flt1007,1007.06,Mag 5,cur_ac_lo,191.245
Flt1007,1007.06,Mag 5,cur_tank,441.146
Flt1007,1007.06,Mag 5,cur_flap,-22.257
Flt1007,1007.06,Mag 5,cur_strb,0.24
Flt1007,1007.06,Mag 5,cur_srvo_o,0.831
Flt1007,1007.06,Mag 5,cur_srvo_m,17.354
Flt1007,1007.06,Mag 5,cur_srvo_i,1.321
Flt1007,1007.06,Mag 5,cur_heat,-18.708
Flt1007,1007.06,Mag 5,cur_acpwr,6.557
Flt1007,1007.06,Mag 5,cur_outpwr,-6.339
Flt1007,1007.06,Mag 5,cur_bat_1,-135.122
Flt1007,1007.06,Mag 5,cur_bat_2,-58.57
