tmin,tlat,tlon,ilat,ilon,elat,elon,flat,flon,eins,eekf,efgo
7.56,44.6313024,-75.914394,44.6312188,-75.9138443,44.631323,-75.9146252,44.6314193,-75.9144806,44.6011194,18.4913051,14.7327225
7.77,44.6259031,-75.906866,44.6258101,-75.9063042,44.6259314,-75.9071164,44.6260067,-75.9069579,45.7729871,20.1194513,13.6579759
7.98,44.6222918,-75.8975873,44.6221947,-75.8970108,44.62234,-75.897847,44.6223876,-75.8976828,47.0130742,21.3021786,13.1024594
8.19,44.6207367,-75.8872143,44.6206306,-75.8866174,44.620839,-75.8872505,44.6208199,-75.8873085,48.8308028,11.763282,11.9191683
8.4,44.6207961,-75.8765451,44.6206821,-75.8759317,44.6209152,-75.8765644,44.620868,-75.8766425,50.3128934,13.3736178,11.1337234
8.61,44.6211821,-75.8659213,44.6210603,-75.8652919,44.6213118,-75.8659615,44.6212425,-75.866022,51.7669619,14.8060371,10.4478609
8.82,44.6229241,-75.855794,44.6227963,-75.8551448,44.6230231,-75.8558497,44.6229748,-75.8558944,53.4547154,11.891437,9.7672625
9.03,44.6270432,-75.8472745,44.6269044,-75.846602,44.6271307,-75.8473349,44.6270786,-75.847372,55.564342,10.8723892,8.6908069
9.24,44.6326432,-75.8405915,44.6325022,-75.8398927,44.6327246,-75.8406497,44.6326719,-75.8406835,57.6358953,10.1801967,7.9702508
9.45,44.6384561,-75.834245,44.6383063,-75.8335271,44.6385271,-75.8343063,44.6384716,-75.8343383,59.356739,9.2960468,7.6046144
9.66,44.6447874,-75.8288248,44.6446318,-75.828084,44.6448381,-75.8289051,44.6447928,-75.8289154,61.2775655,8.5219521,7.2138241
9.87,44.6518772,-75.8262723,44.6517192,-75.8255057,44.6519251,-75.8263453,44.6518755,-75.8263573,63.3080821,7.8757944,6.7436891
10.08,44.6592464,-75.8262081,44.6590818,-75.8254198,44.6592707,-75.8262831,44.659233,-75.8262914,65.1651977,6.5401077,6.7695508
10.29,44.66663,-75.8265773,44.6664614,-75.8257635,44.6666274,-75.8265832,44.6666081,-75.8266549,67.2150013,0.55228,6.6190318
10.5,44.6740883,-75.827376,44.6739156,-75.8265428,44.674093,-75.8272605,44.6740581,-75.8274536,68.818294,9.1752771,7.0164636
10.71,44.6811795,-75.830474,44.6810088,-75.8296138,44.6811725,-75.8303135,44.6811469,-75.8305437,70.8033323,12.749025,6.6121482
10.92,44.6869241,-75.8368133,44.6867499,-75.8359278,44.6869146,-75.8366691,44.6868832,-75.8368758,72.8360342,11.477752,6.7342066
11.13,44.6921471,-75.8439105,44.6919695,-75.8430038,44.6921491,-75.8437281,44.6920983,-75.8439696,74.5471747,14.4566728,7.1761903
11.34,44.69737,-75.8510736,44.6971892,-75.8501429,44.697361,-75.8508892,44.6973141,-75.8511265,76.4749295,14.6466361,7.514944
11.55,44.7027303,-75.8582561,44.7025463,-75.8573106,44.7026632,-75.8581211,44.7026679,-75.8583122,77.6921142,13.0539306,8.2595754
11.76,44.7084878,-75.8646961,44.7083046,-75.8637277,44.7084123,-75.8645707,44.7084236,-75.8647476,79.4137587,13.0273737,8.242047
11.97,44.7134565,-75.8723902,44.7132721,-75.8713996,44.7133415,-75.8722719,44.7133888,-75.8724372,81.1407406,15.8782369,8.4203387
12.18,44.716601,-75.8819897,44.7164176,-75.8809795,44.7165444,-75.8817461,44.7165319,-75.8820336,82.6146461,20.3027003,8.4571797
12.39,44.7194291,-75.8915416,44.7192423,-75.8905078,44.7194941,-75.8912802,44.7193546,-75.8915784,84.5178321,21.9402665,8.8014858
12.6,44.7221773,-75.9011097,44.7219868,-75.900059,44.7222779,-75.9009083,44.7220976,-75.9011462,85.9138073,19.5050798,9.3418617
12.81,44.7248675,-75.9106886,44.724674,-75.9096216,44.7249249,-75.9105299,44.7247838,-75.9107254,87.2397591,14.106749,9.7794414
13.02,44.7276598,-75.9203072,44.7274643,-75.9192187,44.7277583,-75.9201527,44.7275735,-75.9203391,88.9457548,16.4438974,9.9482604
13.23,44.7303297,-75.9301816,44.7301285,-75.9290736,44.7304332,-75.9299361,44.7302375,-75.9302106,90.5961068,22.6120182,10.5299755
13.44,44.7331912,-75.9399256,44.7329876,-75.9387966,44.7330589,-75.9398709,44.7330968,-75.9399504,92.2638652,15.3726082,10.7041088
13.65,44.7360069,-75.9497623,44.7358008,-75.9486171,44.7358565,-75.9496864,44.7359107,-75.9497876,93.5716174,17.8184054,10.9152192
13.86,44.7386604,-75.9596808,44.7384536,-75.9585179,44.7383953,-75.9597037,44.7385644,-75.9597048,94.953132,29.6182006,10.8680899
14.07,44.7414311,-75.9693756,44.741221,-75.9681951,44.7411466,-75.9694251,44.7413332,-75.9693985,96.3864146,31.9659671,11.0653031
14.28,44.7443765,-75.9789604,44.7441603,-75.9777635,44.74404,-75.9790107,44.7442742,-75.9789835,97.8087231,37.7300602,11.5480041
14.49,44.7474182,-75.988597,44.7472027,-75.9873777,44.7470911,-75.9886466,44.7473187,-75.9886142,99.5025403,36.6837927,11.1794492
14.7,44.7505053,-75.9982305,44.7502852,-75.9969977,44.7502105,-75.9983168,44.7504035,-75.9982505,100.6617348,33.5769934,11.4601642
14.91,44.7533725,-76.0077993,44.75315,-76.0065432,44.753171,-76.0079548,44.7532709,-76.0078121,102.5138642,25.6208361,11.3768158
15.12,44.7564104,-76.0174914,44.7561809,-76.0162204,44.7562467,-76.0176497,44.7563046,-76.0175054,103.8378485,22.1399867,11.8534831
15.33,44.7593679,-76.0271189,44.7591374,-76.0258289,44.7592068,-76.0273002,44.759264,-76.0271299,105.319487,22.9954367,11.6201132
15.54,44.7622895,-76.0368048,44.7620537,-76.0355005,44.7621272,-76.0370125,44.7621834,-76.0368173,106.5611126,24.4556325,11.8680139
15.75,44.7652045,-76.0463343,44.7649644,-76.0450116,44.7650463,-76.046557,44.7650974,-76.0463442,108.0881925,24.9418344,11.9730151
15.96,44.7684123,-76.055488,44.7681672,-76.0541502,44.7682442,-76.0557489,44.7683037,-76.0554989,109.3722456,27.8896195,12.1358565
16.17,44.7715838,-76.0647499,44.7713356,-76.063392,44.77141,-76.0650401,44.7714758,-76.0647567,110.9913752,30.0534494,12.0502105
16.38,44.7746244,-76.0740374,44.7743723,-76.0726625,44.7744527,-76.0743499,44.7745163,-76.0740431,112.4014616,31.2819371,12.0654546
16.59,44.7776407,-76.0832376,44.7773861,-76.081847,44.7775015,-76.0835319,44.7775339,-76.0832437,113.6690241,27.9950319,11.9165724
16.8,44.7805811,-76.0923448,44.7803196,-76.0909399,44.780453,-76.0926434,44.7804715,-76.0923527,114.9559906,27.6184792,12.2397933
17.01,44.7837075,-76.1012674,44.7834422,-76.0998436,44.7836494,-76.1015307,44.7835983,-76.1012729,116.4990742,21.8191665,12.188381
17.22,44.7873066,-76.1099143,44.7870404,-76.1084781,44.7874399,-76.1098186,44.7872008,-76.1099244,117.4697346,16.6784048,11.8254001
17.43,44.7923029,-76.1169904,44.7920251,-76.1155427,44.7924406,-76.1169033,44.7921906,-76.1170072,118.6733303,16.826073,12.5981095
17.64,44.7978479,-76.1232543,44.7975657,-76.1217879,44.798039,-76.1231563,44.7977366,-76.1232713,120.2189645,22.6767774,12.4841008
17.85,44.803468,-76.1296965,44.8031806,-76.1282165,44.8037105,-76.1295622,44.8033573,-76.129719,121.3971561,29.0519226,12.4695501
18.06,44.8092437,-76.1357576,44.8089561,-76.1342612,44.8094207,-76.1357128,44.8091389,-76.1357832,122.6456798,20.0535903,11.8630013
18.27,44.814899,-76.1417318,44.8146054,-76.1402142,44.815077,-76.1417435,44.8147947,-76.141756,124.4239483,19.8674985,11.7845595
18.48,44.8204979,-76.14792,44.8201975,-76.1463907,44.8206518,-76.1479764,44.8203935,-76.1479526,125.5080697,17.7363081,11.9221745
18.69,44.8260991,-76.1543243,44.8257953,-76.1527792,44.8262615,-76.1543685,44.8259983,-76.1543615,126.8038302,18.43848,11.6229976
18.9,44.8317603,-76.1608541,44.8314504,-76.159288,44.8318288,-76.1609017,44.8316606,-76.1608913,128.5746216,8.5210653,11.4998825
19.11,44.8374334,-76.1674145,44.8371169,-76.1658369,44.8374673,-76.1674018,44.8373347,-76.1674616,129.6352335,3.908716,11.6176745
19.32,44.8432778,-76.1739155,44.8429611,-76.1723228,44.8433241,-76.1738273,44.8431868,-76.1739695,130.780534,8.680348,11.0086615
19.53,44.8491482,-76.1804712,44.8488225,-76.1788602,44.8491908,-76.180366,44.8490564,-76.1805295,132.4310058,9.5773674,11.2234153
19.74,44.8556967,-76.1853503,44.8553656,-76.1837304,44.8557191,-76.1852605,44.8556088,-76.1854232,133.2614199,7.5274436,11.3676593
19.95,44.8631084,-76.1865773,44.8627682,-76.184945,44.863148,-76.186472,44.8630224,-76.1866623,134.4644564,9.4170508,11.7132271
20.16,44.8705175,-76.1865742,44.8701766,-76.1849279,44.8706131,-76.1863971,44.8704426,-76.1866697,135.5406886,17.5879425,11.2573004
20.37,44.8777558,-76.1866955,44.8774073,-76.185031,44.8778338,-76.1864898,44.8776858,-76.1867974,137.1403629,18.4312044,11.2189352
20.58,44.8849184,-76.1854959,44.8845636,-76.183822,44.8849978,-76.1853064,44.8848555,-76.1856131,138.0341193,17.3930545,11.6209246
20.79,44.8912008,-76.1803835,44.8908432,-76.1786998,44.8913092,-76.1801649,44.8911505,-76.1805148,138.8541975,21.0749841,11.7964046
21.0,44.8948507,-76.1715294,44.8944929,-76.1698361,44.8950137,-76.171252,44.8948174,-76.1716729,139.5744908,28.4690368,11.926599
21.21,44.8976579,-76.1617403,44.897289,-76.1600328,44.8973875,-76.1620009,44.8976313,-76.1618899,141.0022618,36.509372,12.185165
21.42,44.9004385,-76.1517936,44.9000621,-76.1500748,44.9003205,-76.1522373,44.9004227,-76.1519515,142.0947268,37.4337368,12.5930868
21.63,44.9031316,-76.1419612,44.9027492,-76.1402257,44.9030163,-76.1422897,44.9031283,-76.142121,143.5475931,28.9505331,12.626013
21.84,44.9058268,-76.1321695,44.9054364,-76.1304224,44.9057982,-76.1323822,44.9058343,-76.1323355,144.6839046,17.1004842,13.1395417
22.05,44.9082963,-76.1221042,44.9079001,-76.1203498,44.9083974,-76.1222685,44.908317,-76.1222798,145.4225455,17.1868511,14.057185
22.26,44.9083896,-76.1115302,44.9079918,-76.1097615,44.9084678,-76.1117134,44.9084281,-76.1117058,146.5504661,16.8892755,14.5160375
22.47,44.9070702,-76.1010194,44.9066683,-76.099242,44.9072254,-76.1012243,44.9071238,-76.1011986,147.3483932,23.6939819,15.3616487
22.68,44.905138,-76.0906686,44.9047259,-76.0888772,44.9052977,-76.0908965,44.9052006,-76.0908446,148.7519385,25.3193447,15.5522125
22.89,44.9013286,-76.0815081,44.9009158,-76.0797042,44.9014457,-76.0817039,44.9014089,-76.08168,149.7305706,20.2349241,16.2634995
23.1,44.8954873,-76.0746786,44.8950716,-76.072863,44.8956228,-76.0748873,44.8955819,-76.0748451,150.7157794,22.3610346,16.8617184
23.31,44.8883052,-76.0709278,44.887881,-76.0690987,44.8884221,-76.0711364,44.8884068,-76.0710854,152.0432809,21.0131185,16.8371731
23.52,44.8808935,-76.0680044,44.8804669,-76.0661709,44.8810047,-76.0682125,44.8810074,-76.0681615,152.4747894,20.5958172,17.7579377
23.73,44.8735597,-76.0652803,44.8731273,-76.0634379,44.8736737,-76.065504,44.8736816,-76.065432,153.3629766,21.7695147,18.1267385
23.94,44.8661062,-76.0623843,44.8656674,-76.0605387,44.8662636,-76.0626289,44.8662349,-76.0625358,153.8442232,26.1115415,18.6936767
24.15,44.8586653,-76.059249,44.858219,-76.0573989,44.8588352,-76.059507,44.8587991,-76.0593986,154.4691756,27.8341271,19.0335867
24.36,44.851221,-76.0558562,44.8507705,-76.0540013,44.8514071,-76.0561231,44.8513627,-76.056003,154.9986362,29.5957921,19.6002341
24.57,44.8437993,-76.0524748,44.8433392,-76.0506151,44.8439964,-76.0527509,44.8439427,-76.0526185,155.7220468,30.9743628,19.6187514
24.78,44.8363848,-76.0489811,44.8359194,-76.0471143,44.8365976,-76.0492629,44.8365337,-76.049119,156.4630713,32.5499854,19.8613669
24.99,44.8289457,-76.0454905,44.8284767,-76.0436193,44.8291758,-76.0457811,44.8291011,-76.0456248,156.9465616,34.4438944,20.3204873
25.2,44.8215964,-76.0417949,44.8211199,-76.0399237,44.8218308,-76.0420903,44.8217539,-76.0419297,157.2423927,35.0523669,20.541662
25.41,44.8144073,-76.037932,44.8139236,-76.0360562,44.8146474,-76.0381831,44.8145665,-76.0380625,157.873964,33.337229,20.537289
25.62,44.8072072,-76.03412,44.8067215,-76.0322403,44.8074595,-76.0343547,44.8073728,-76.0342466,158.2566304,33.7078564,21.0087163
25.83,44.7998452,-76.0301762,44.7993533,-76.0282927,44.800109,-76.0304096,44.8000125,-76.0302984,158.8017121,34.7299729,21.0096538
26.04,44.7923781,-76.0259219,44.7918819,-76.0240356,44.7926492,-76.0261763,44.7925485,-76.0260405,159.1907815,36.3205913,21.1970581
26.25,44.7847689,-76.0215986,44.7842673,-76.0197097,44.7850174,-76.0216732,44.7849409,-76.0217135,159.6073828,28.3369916,21.2236147
26.46,44.7773026,-76.0171709,44.7767959,-76.0152808,44.7775002,-76.0172238,44.777476,-76.0172832,159.9179419,22.4247018,21.279896
26.67,44.77,-76.0126435,44.769485,-76.0107487,44.7701852,-76.0127148,44.7701711,-76.0127497,160.6136166,21.4066448,20.846745
26.88,44.7628554,-76.0083481,44.7623345,-76.0064515,44.7630066,-76.0084607,44.7630261,-76.008451,160.9994596,19.0687183,20.7002379
27.09,44.7556183,-76.0040545,44.7550923,-76.0021543,44.7557659,-76.0041666,44.7557889,-76.004152,161.486737,18.6968013,20.5346728
27.3,44.748461,-75.9996436,44.7479303,-75.9977425,44.7485946,-75.999747,44.7486316,-75.9997384,161.7584571,16.9967247,20.4539492
27.51,44.74118,-75.9953727,44.740648,-75.993474,44.7412961,-75.9955098,44.7413535,-75.9954677,161.6546347,16.8941425,20.763719
27.72,44.7339596,-75.9911834,44.733423,-75.98928,44.7340681,-75.991321,44.7341323,-75.9912715,162.2105805,16.2847935,20.4818463
27.93,44.7266835,-75.9870646,44.7261407,-75.9851604,44.7268091,-75.9871475,44.7268533,-75.9871495,162.5404695,15.4640208,20.0946493
28.14,44.71933,-75.9832166,44.718784,-75.9813158,44.7194472,-75.983293,44.7194993,-75.9833025,162.4409498,14.4062915,20.0670143
28.35,44.7119425,-75.9796954,44.7113871,-75.9777922,44.7120461,-75.9797593,44.7121047,-75.9797761,163.0363318,12.6117798,19.1787405
28.56,44.7045653,-75.9759917,44.7040074,-75.9740908,44.7046606,-75.9760492,44.7047268,-75.9760721,162.9846975,11.559358,19.1010632
28.77,44.6972178,-75.9723112,44.6966563,-75.9704067,44.697329,-75.9723288,44.6973771,-75.9723851,163.4186169,12.4758669,18.7068257
28.98,44.6898966,-75.9687071,44.6893282,-75.9668028,44.6899858,-75.9687429,44.6900499,-75.9687783,163.7194575,10.3438623,17.9986786
29.19,44.6825063,-75.9650617,44.681937,-75.9631588,44.6826641,-75.9650457,44.6826591,-75.9651312,163.6726292,17.636025,17.9103845
29.4,44.6751497,-75.9612859,44.6745745,-75.9593887,44.6753089,-75.9613866,44.6752966,-75.961358,163.5281804,19.463236,17.3471392
29.61,44.6678248,-75.9576095,44.6672464,-75.9557104,44.6679918,-75.9576981,44.6679679,-75.9576764,163.8321645,19.8979523,16.8111904
29.82,44.6605257,-75.9538505,44.6599469,-75.9519575,44.6607005,-75.9538419,44.6606673,-75.9539202,163.4197985,19.4983906,16.7300379
30.03,44.6543987,-75.9477243,44.6538105,-75.9458383,44.6545609,-75.9477228,44.6545301,-75.9477983,163.340599,18.0815297,15.7867242
30.24,44.6490608,-75.9402274,44.6484706,-75.938344,44.6492291,-75.9402304,44.6491893,-75.9403014,163.2561672,18.7650591,15.4879122
30.45,44.643537,-75.9326269,44.6429415,-75.9307466,44.6436996,-75.9326377,44.643659,-75.9327009,163.2824129,18.1495598,14.8143392
30.66,44.6380473,-75.9252343,44.6374469,-75.9233554,44.6382114,-75.9253158,44.6381624,-75.9253063,163.4166033,19.4100815,14.0501656
30.87,44.6324138,-75.9180364,44.631809,-75.9161591,44.6325647,-75.9181297,44.6325221,-75.918106,163.5195083,18.3792913,13.2739666
31.08,44.6266226,-75.9106887,44.6260164,-75.9088138,44.6267914,-75.9107664,44.6267265,-75.9107562,163.4255352,19.8113322,12.7684219
31.29,44.6231285,-75.9013489,44.6225099,-75.8994803,44.6233062,-75.9014605,44.6232173,-75.9014194,163.5557147,21.698213,11.3707575
31.5,44.6232386,-75.8905123,44.622613,-75.8886457,44.6233728,-75.8906964,44.6233178,-75.8905831,163.7433237,20.9153883,10.46838
31.71,44.6235248,-75.880177,44.6228937,-75.8783152,44.6236816,-75.8801962,44.6235955,-75.8802504,163.653419,17.554726,9.8033681
31.92,44.6238383,-75.8699275,44.6232031,-75.868065,44.6239883,-75.8699419,44.6239016,-75.8699971,163.9010908,16.7684411,8.9651306
32.13,44.626873,-75.8609541,44.6262226,-75.8590925,44.6270246,-75.8609413,44.6269172,-75.8610226,164.571496,16.9382552,7.3330988
32.34,44.6321358,-75.8535785,44.6314824,-75.8517185,44.6322924,-75.8535575,44.6321724,-75.8536472,164.5933383,17.5447035,6.8160009
32.55,44.6375993,-75.8461989,44.6369427,-75.8443388,44.6377574,-75.8461679,44.6376284,-75.8462655,164.7466594,17.8028783,6.2007043
32.76,44.6431388,-75.8387558,44.6424832,-75.8368961,44.6433028,-75.8387175,44.6431646,-75.83882,164.6575809,18.5366317,5.8536046
32.97,44.6487735,-75.8318063,44.6481096,-75.8299461,44.64891,-75.8317949,44.6487868,-75.8318666,165.0894304,15.2445588,5.0042992
33.18,44.6559736,-75.8307283,44.655306,-75.8288575,44.6560948,-75.8307074,44.6559771,-75.8307748,166.0135309,13.6147536,3.7064064
33.39,44.6634167,-75.8310751,44.6627487,-75.829207,44.6634858,-75.8309945,44.6634136,-75.8311207,165.8238572,10.0145842,3.6360662
33.6,44.6707323,-75.831074,44.6700596,-75.829207,44.6707691,-75.8309565,44.6707189,-75.8311166,165.9634121,10.1847769,3.6938783
33.81,44.6780878,-75.8307187,44.6774164,-75.8288575,44.6781269,-75.8305983,44.6780704,-75.8307624,165.4724185,10.4900361,3.9671638
34.02,44.6849759,-75.8323232,44.6843034,-75.8304561,44.6850071,-75.8322349,44.6849519,-75.8323553,165.9352497,7.8167653,3.6948831
34.23,44.6904592,-75.8387515,44.6897866,-75.8368789,44.6904899,-75.8386321,44.6904284,-75.8387713,166.3125322,10.0669257,3.7729565
34.44,44.6959285,-75.845027,44.6952583,-75.8431585,44.695974,-75.8448966,44.695894,-75.8450438,165.8857649,11.5162452,4.0694746
34.65,44.7014242,-75.8514474,44.700753,-75.8495814,44.701493,-75.8512542,44.7013829,-75.8514592,165.7515194,17.1249739,4.6986718
34.86,44.7068727,-75.858188,44.7062018,-75.8563308,44.7069251,-75.8580169,44.7068263,-75.858201,165.0975978,14.7637307,5.2722106
35.07,44.7124112,-75.8649825,44.7117423,-75.8631261,44.7124596,-75.8648101,44.7123619,-75.8649885,164.9289765,14.687459,5.5210321
35.28,44.7148961,-75.8744705,44.7142347,-75.8726143,44.7149177,-75.8743008,44.7148488,-75.8744666,164.5357091,13.6645211,5.2792367
35.49,44.7174305,-75.8844617,44.7167671,-75.8826124,44.7175553,-75.8841682,44.7173761,-75.8844546,164.1371894,27.1005356,6.0891013
35.7,44.7201525,-75.8947398,44.7194887,-75.8928913,44.7202989,-75.8944636,44.7200928,-75.8947234,164.0997601,27.30117,6.7818465
35.91,44.7226936,-75.9046703,44.7220326,-75.9028321,44.722853,-75.9044109,44.7226324,-75.904654,163.2220442,27.1748079,6.9468833
36.12,44.7250068,-75.9137073,44.7243474,-75.9118734,44.72515,-75.9134433,44.7249435,-75.9136848,162.8367395,26.3130798,7.2811633
36.33,44.7270347,-75.9224043,44.7263756,-75.9205766,44.7271884,-75.9221285,44.7269686,-75.9223773,162.3733799,27.7675132,7.6732082
36.54,44.7288722,-75.9305475,44.7282148,-75.928724,44.7289803,-75.9301956,44.7288052,-75.9305137,161.9828656,30.3696406,7.9317771
36.75,44.7307108,-75.9387363,44.730054,-75.9369231,44.7307522,-75.9385378,44.7306422,-75.9387015,161.2267091,16.3887416,8.1270079
36.96,44.7331465,-75.9467561,44.7324891,-75.9449502,44.7332968,-75.9464009,44.7330755,-75.9467177,160.7356702,32.7502922,8.4812879
37.17,44.7355535,-75.954881,44.7348955,-75.9530805,44.735472,-75.9547683,44.7354804,-75.9548369,160.3813273,12.7414069,8.8682471
37.38,44.7380951,-75.9626774,44.7374395,-75.9608842,44.737752,-75.96256,44.7380233,-75.9626293,159.7436903,39.3656638,8.8698383
37.59,44.7405066,-75.9703661,44.7398516,-75.968579,44.7401877,-75.9702415,44.7404347,-75.9703125,159.2740376,36.9013294,9.0717356
37.8,44.7428524,-75.9786417,44.7422007,-75.976864,44.7425167,-75.9785571,44.7427832,-75.9785856,158.4393936,38.0312895,8.9055101
38.01,44.7453113,-75.9879035,44.7446587,-75.9861344,44.7450118,-75.9878147,44.7452404,-75.9878442,157.8719595,34.1308216,9.1982936
38.22,44.7479156,-75.9981089,44.7472657,-75.9963445,44.7476301,-75.9980534,44.7478464,-75.9980422,157.3989395,32.1379604,9.3449683
38.43,44.7508532,-76.0085103,44.750205,-76.0067552,44.750715,-76.0086073,44.7507849,-76.0084409,156.6570962,17.2140923,9.392349
38.64,44.7539484,-76.0184971,44.7533047,-76.0167533,44.7537915,-76.0186229,44.753884,-76.018427,155.6241334,20.1351473,9.0761831
38.85,44.7572033,-76.0281609,44.7565591,-76.0264248,44.7570438,-76.0282989,44.757138,-76.0280864,155.100434,20.8749348,9.3674318
39.06,44.7604855,-76.0373928,44.7598421,-76.0356666,44.7603279,-76.0375517,44.7604209,-76.037316,154.3546629,21.6176733,9.4236403
39.27,44.7638164,-76.0466717,44.7631767,-76.0449543,44.7636676,-76.0468417,44.7637554,-76.0465914,153.5421459,21.368877,9.3075737
39.48,44.7672349,-76.0560377,44.7665973,-76.0543279,44.7670797,-76.0562351,44.7671758,-76.0559529,152.8964046,23.3150489,9.4076437
39.69,44.770784,-76.0653417,44.7701496,-76.0636384,44.7706235,-76.0655679,44.770728,-76.0652514,152.2611562,25.3183091,9.4886295
